#=====================================================
# File created:        Mon-03-Nov-2025-at-01-42-41AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.900
# Run time (s):        7.517011
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -420.9830  0.2922 
   00001    0.6650    -603.3563  0.3074 
   00002    0.6375    -649.9403  0.2920 
   00003    0.6100    -735.1973  0.3069 
   00004    0.5800    -774.7046  0.3320 
   00005    0.5650    -827.8834  0.3784 
   00006    0.5225    -849.8880  0.3711 
   00007    0.5550    -873.8550  0.3959 
   00008    0.5075    -913.6462  0.4137 
   00009    0.5250    -943.9737  0.4227 
   00010    0.5050    -920.2886  0.3939 
   00011    0.4925    -927.8065  0.3938 
   00012    0.4900    -890.9362  0.3735 
   00013    0.5075    -914.9362  0.3771 
   00014    0.4750    -933.1381  0.4036 
   00015    0.4775    -930.0731  0.3868 
   00016    0.4350    -939.2100  0.4018 
   00017    0.5025    -980.1989  0.3668 
   00018    0.5225    -947.7846  0.3651 
   00019    0.4700    -945.5214  0.3833 
   00020    0.4925    -957.9956  0.4014 
   00021    0.5175    -935.8925  0.4031 
   00022    0.4725    -991.1233  0.4155 
   00023    0.4725   -1004.8949  0.4183 
   00024    0.4475    -978.4808  0.3743 
   00025    0.5025    -995.8569  0.3556 
   00026    0.5050    -989.8492  0.3463 
   00027    0.4850    -993.4694  0.3630 
   00028    0.4375    -973.7806  0.3674 
   00029    0.5100    -996.2724  0.3847 
   00030    0.4750    -969.3228  0.3607 
   00031    0.4975    -998.3252  0.3808 
   00032    0.4775   -1019.4506  0.4045 
   00033    0.4725   -1031.5731  0.4240 
   00034    0.4550    -984.7460  0.4093 
   00035    0.4775   -1000.7209  0.4307 
   00036    0.4475   -1001.2277  0.4185 
   00037    0.4625   -1014.4919  0.3964 
   00038    0.4325   -1006.6191  0.3908 
   00039    0.4900    -999.0264  0.4180 
   00040    0.4550   -1026.9820  0.4507 
   00041    0.4450   -1035.2181  0.4601 
   00042    0.4375   -1062.0125  0.4571 
   00043    0.4600   -1075.7510  0.4588 
