#=====================================================
# File created:        Wed-05-Nov-2025-at-03-27-59AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.400
# Run time (s):        1.522323
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -358.7151  0.2740 
   00001    0.4300    -431.8055  0.3932 
   00002    0.4825    -468.0602  0.3993 
   00003    0.4175    -494.4534  0.4061 
   00004    0.4650    -522.0044  0.4148 
   00005    0.4375    -543.4973  0.4208 
   00006    0.4475    -561.2998  0.4120 
   00007    0.4250    -583.6589  0.4162 
   00008    0.4350    -604.4868  0.4105 
   00009    0.4975    -623.0338  0.4227 
   00010    0.4525    -641.9244  0.4337 
   00011    0.4750    -656.3036  0.4393 
   00012    0.4675    -659.5658  0.4297 
   00013    0.4575    -673.2286  0.4343 
   00014    0.4550    -682.1322  0.4370 
   00015    0.4775    -705.5743  0.4430 
   00016    0.4250    -727.8086  0.4491 
   00017    0.4325    -743.1862  0.4499 
   00018    0.4300    -758.9873  0.4532 
   00019    0.4000    -764.2066  0.4569 
   00020    0.4725    -778.1631  0.4566 
   00021    0.4250    -802.4590  0.4637 
   00022    0.4825    -820.4124  0.4619 
   00023    0.4850    -836.2217  0.4574 
   00024    0.4600    -852.0008  0.4685 
   00025    0.4600    -866.7445  0.4711 
   00026    0.4300    -885.6536  0.4700 
   00027    0.4175    -891.7855  0.4722 
   00028    0.4300    -907.7117  0.4738 
   00029    0.4400    -914.4669  0.4780 
   00030    0.4650    -914.0343  0.4756 
   00031    0.4750    -928.9639  0.4741 
   00032    0.4225    -941.0656  0.4720 
   00033    0.4350    -947.3825  0.4703 
   00034    0.4275    -943.9968  0.4677 
   00035    0.4475    -950.7959  0.4751 
   00036    0.4525    -961.4924  0.4639 
   00037    0.4575    -965.0088  0.4584 
   00038    0.4325    -963.0976  0.4678 
   00039    0.3800    -965.0227  0.4708 
   00040    0.4500    -979.7524  0.4713 
   00041    0.4325    -991.4097  0.4752 
   00042    0.4625   -1002.5991  0.4729 
   00043    0.3850   -1008.2402  0.4727 
   00044    0.4625   -1002.2784  0.4764 
   00045    0.4125   -1012.5383  0.4704 
   00046    0.4450   -1029.2901  0.4702 
   00047    0.4200   -1029.2509  0.4706 
   00048    0.3875   -1030.1532  0.4649 
   00049    0.4725   -1034.4796  0.4614 
   00050    0.4375   -1040.9670  0.4611 
   00051    0.4550   -1043.2180  0.4609 
   00052    0.4475   -1046.3992  0.4617 
   00053    0.4375   -1060.0168  0.4627 
   00054    0.4850   -1070.6038  0.4609 
   00055    0.4125   -1074.5608  0.4623 
   00056    0.4175   -1073.2114  0.4661 
   00057    0.4200   -1078.7316  0.4659 
   00058    0.4675   -1082.7493  0.4549 
   00059    0.4200   -1089.2296  0.4492 
   00060    0.4625   -1092.8351  0.4566 
   00061    0.4200   -1099.6164  0.4532 
   00062    0.4800   -1103.2964  0.4535 
   00063    0.4550   -1105.8913  0.4508 
   00064    0.4575   -1110.2843  0.4546 
   00065    0.4050   -1110.0162  0.4527 
   00066    0.4325   -1118.5901  0.4590 
   00067    0.4250   -1125.1870  0.4576 
   00068    0.4825   -1131.2385  0.4598 
   00069    0.4825   -1132.7994  0.4585 
   00070    0.4350   -1142.8381  0.4518 
   00071    0.4150   -1140.2781  0.4609 
   00072    0.4400   -1149.2653  0.4629 
   00073    0.4400   -1153.0221  0.4620 
   00074    0.4050   -1152.1043  0.4580 
   00075    0.4500   -1163.4960  0.4618 
   00076    0.4125   -1163.7879  0.4658 
   00077    0.4350   -1166.9544  0.4688 
   00078    0.4175   -1165.0760  0.4677 
   00079    0.4100   -1169.8861  0.4686 
   00080    0.4700   -1173.5178  0.4700 
   00081    0.4300   -1183.4763  0.4687 
   00082    0.4450   -1189.3150  0.4741 
   00083    0.4525   -1191.2380  0.4714 
   00084    0.4525   -1192.1550  0.4787 
   00085    0.4200   -1194.3845  0.4782 
   00086    0.4575   -1204.2884  0.4831 
   00087    0.4175   -1204.9448  0.4817 
   00088    0.4800   -1214.8933  0.4809 
   00089    0.4500   -1224.0735  0.4799 
   00090    0.4975   -1225.1040  0.4794 
   00091    0.4425   -1224.4855  0.4827 
   00092    0.3850   -1222.5082  0.4849 
   00093    0.4825   -1223.4421  0.4875 
   00094    0.4700   -1229.1549  0.4885 
   00095    0.4200   -1227.6054  0.4880 
   00096    0.4850   -1226.2731  0.4976 
   00097    0.4450   -1230.0572  0.4980 
   00098    0.4225   -1229.6233  0.4974 
   00099    0.4650   -1228.9767  0.4941 
   00100    0.4600   -1230.7326  0.5009 
   00101    0.4275   -1236.3962  0.5007 
   00102    0.4625   -1237.0504  0.5033 
   00103    0.4625   -1236.3402  0.4997 
   00104    0.4200   -1234.8489  0.4975 
   00105    0.4475   -1228.6870  0.4916 
   00106    0.4625   -1246.7941  0.4998 
   00107    0.4300   -1241.4410  0.4981 
   00108    0.4100   -1233.9989  0.4959 
   00109    0.4425   -1235.4289  0.5013 
   00110    0.4025   -1228.8246  0.5006 
   00111    0.3950   -1231.1464  0.5017 
   00112    0.4500   -1227.3611  0.4995 
   00113    0.4600   -1220.9384  0.5005 
   00114    0.4500   -1221.9926  0.5019 
   00115    0.3950   -1228.4491  0.5013 
   00116    0.3850   -1224.6564  0.5010 
   00117    0.4250   -1229.7706  0.5035 
   00118    0.4075   -1234.9213  0.5096 
   00119    0.4650   -1229.8210  0.5107 
   00120    0.4350   -1233.2329  0.5098 
   00121    0.4650   -1232.2042  0.5128 
   00122    0.4825   -1229.5900  0.5204 
   00123    0.4225   -1234.0922  0.5241 
   00124    0.4750   -1236.6811  0.5276 
   00125    0.4425   -1237.8950  0.5281 
   00126    0.4425   -1238.8346  0.5287 
   00127    0.4800   -1241.2711  0.5318 
   00128    0.4475   -1247.0134  0.5362 
   00129    0.4375   -1252.0516  0.5386 
   00130    0.4425   -1250.3099  0.5428 
   00131    0.4475   -1250.9776  0.5423 
   00132    0.4425   -1250.6391  0.5403 
