#=====================================================
# File created:        Mon-03-Nov-2025-at-01-41-40AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.500
# Run time (s):        7.493968
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -345.6561  0.2652 
   00001    0.6600    -553.1264  0.2658 
   00002    0.6250    -683.1822  0.2763 
   00003    0.6075    -814.0252  0.3060 
   00004    0.5975    -896.6423  0.3173 
   00005    0.5500    -968.2134  0.3140 
   00006    0.4875    -998.5716  0.3062 
   00007    0.5300   -1027.1381  0.2975 
   00008    0.5050   -1030.2480  0.2702 
   00009    0.4900   -1046.9851  0.2848 
   00010    0.4475   -1066.9243  0.2854 
   00011    0.4950   -1082.5850  0.2778 
   00012    0.4750   -1108.2580  0.2644 
   00013    0.4800   -1104.6714  0.2719 
   00014    0.4600   -1124.8693  0.2671 
   00015    0.4600   -1128.8008  0.2732 
   00016    0.4475   -1140.4627  0.2814 
   00017    0.4300   -1148.9283  0.2861 
   00018    0.4675   -1157.5408  0.2876 
   00019    0.4725   -1160.3525  0.3031 
   00020    0.4675   -1178.6404  0.3168 
   00021    0.4425   -1191.0263  0.3292 
   00022    0.4375   -1192.9162  0.3413 
   00023    0.4650   -1224.4699  0.3460 
   00024    0.4675   -1212.9500  0.3396 
   00025    0.3975   -1231.3852  0.3583 
   00026    0.4400   -1239.5598  0.3694 
   00027    0.4275   -1212.5352  0.3748 
   00028    0.4200   -1234.9728  0.3810 
   00029    0.4500   -1238.5336  0.3868 
   00030    0.4325   -1236.2816  0.3891 
   00031    0.4175   -1238.4432  0.3981 
   00032    0.4025   -1250.5746  0.4133 
   00033    0.4675   -1255.5138  0.4200 
   00034    0.4700   -1260.3191  0.4233 
   00035    0.4325   -1262.3563  0.4157 
   00036    0.4775   -1260.4949  0.4081 
   00037    0.4300   -1272.6639  0.4389 
   00038    0.4725   -1268.5258  0.4231 
   00039    0.3875   -1287.1191  0.4244 
   00040    0.3925   -1301.2536  0.4248 
   00041    0.4725   -1299.6177  0.4249 
   00042    0.4425   -1300.6291  0.4247 
   00043    0.4200   -1313.9993  0.4333 
   00044    0.3950   -1305.1644  0.4213 
   00045    0.4025   -1283.5304  0.4140 
   00046    0.4300   -1294.0683  0.4181 
   00047    0.4475   -1306.1561  0.4234 
   00048    0.4425   -1304.1048  0.4329 
   00049    0.3775   -1306.8945  0.4554 
   00050    0.4000   -1319.0074  0.4501 
   00051    0.4725   -1310.5915  0.4527 
   00052    0.4275   -1308.5883  0.4601 
   00053    0.4300   -1306.3155  0.4792 
