#=====================================================
# File created:        Mon-03-Nov-2025-at-01-43-49AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.350
# Run time (s):        8.068033
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -394.6840  0.2608 
   00001    0.6925    -574.9276  0.2695 
   00002    0.6975    -655.0118  0.2906 
   00003    0.6425    -678.8230  0.3265 
   00004    0.6075    -795.6410  0.3589 
   00005    0.6025    -763.8663  0.3965 
   00006    0.5700    -782.0896  0.3702 
   00007    0.5675    -808.3713  0.3777 
   00008    0.5775    -791.6564  0.3660 
   00009    0.5900    -812.6290  0.3633 
   00010    0.5700    -809.2753  0.3475 
   00011    0.6000    -814.1512  0.3245 
   00012    0.6075    -831.3683  0.3183 
   00013    0.6125    -827.5912  0.3363 
   00014    0.5625    -832.6175  0.3319 
   00015    0.6150    -805.5776  0.3367 
   00016    0.5725    -771.2223  0.3336 
   00017    0.5750    -792.7520  0.3141 
   00018    0.6275    -754.5695  0.3463 
   00019    0.6150    -742.8954  0.3371 
   00020    0.6550    -748.6582  0.3450 
   00021    0.6600    -732.8289  0.3755 
   00022    0.6150    -771.1357  0.3943 
   00023    0.6275    -730.5790  0.3580 
   00024    0.6075    -761.6667  0.3064 
   00025    0.5875    -771.3280  0.3193 
   00026    0.6025    -816.2605  0.3102 
   00027    0.6150    -758.2713  0.3177 
   00028    0.6475    -739.2465  0.3022 
   00029    0.5650    -798.6293  0.3322 
   00030    0.5875    -795.1705  0.3181 
   00031    0.5550    -763.8660  0.3016 
   00032    0.5950    -828.0456  0.2718 
   00033    0.5750    -808.0784  0.2859 
   00034    0.5600    -796.4943  0.2574 
   00035    0.5725    -755.2979  0.3024 
   00036    0.5775    -750.3564  0.2873 
   00037    0.6700    -771.9195  0.3011 
   00038    0.6250    -763.6029  0.2855 
   00039    0.5750    -772.9637  0.3236 
   00040    0.6100    -769.4649  0.3623 
   00041    0.6200    -763.5559  0.3534 
   00042    0.6125    -723.6010  0.2956 
   00043    0.6075    -756.1459  0.2812 
   00044    0.6150    -761.0521  0.2619 
   00045    0.6250    -730.0444  0.3010 
   00046    0.5625    -762.0366  0.3268 
   00047    0.6250    -764.8818  0.2928 
   00048    0.6100    -734.9523  0.3079 
   00049    0.6150    -786.1497  0.2807 
   00050    0.6050    -798.0251  0.2982 
   00051    0.6175    -763.0260  0.2977 
   00052    0.6225    -772.6013  0.2795 
   00053    0.5800    -720.8574  0.3078 
   00054    0.6075    -796.4356  0.3536 
   00055    0.5675    -786.0831  0.3385 
   00056    0.5925    -826.0004  0.3809 
   00057    0.5700    -794.3552  0.3457 
   00058    0.6350    -725.6643  0.3325 
   00059    0.6125    -743.8799  0.3371 
   00060    0.6175    -726.2924  0.3237 
   00061    0.5925    -751.7234  0.2867 
   00062    0.6300    -730.2445  0.2990 
   00063    0.6200    -750.3097  0.2707 
   00064    0.6450    -693.3401  0.2892 
   00065    0.6025    -723.2084  0.3195 
   00066    0.6550    -710.7035  0.3142 
   00067    0.6425    -753.6072  0.3322 
   00068    0.5525    -779.8550  0.3244 
   00069    0.6250    -740.5070  0.3483 
   00070    0.6100    -696.6699  0.3705 
   00071    0.5800    -744.4712  0.3512 
   00072    0.6000    -718.1352  0.3356 
   00073    0.6300    -708.7305  0.3079 
   00074    0.6200    -707.7301  0.3222 
   00075    0.6225    -725.4987  0.3303 
   00076    0.6175    -697.7528  0.2940 
   00077    0.6325    -755.3162  0.2838 
   00078    0.5975    -782.9115  0.2769 
   00079    0.6275    -744.7284  0.2764 
   00080    0.6000    -738.1649  0.2994 
   00081    0.6500    -752.3269  0.2789 
   00082    0.6125    -762.0808  0.2828 
   00083    0.6450    -741.1114  0.2970 
   00084    0.5900    -834.8900  0.3219 
   00085    0.5875    -772.4297  0.3073 
   00086    0.6050    -766.8299  0.2941 
   00087    0.5800    -802.1531  0.3175 
   00088    0.6250    -786.1823  0.2867 
   00089    0.6050    -736.7823  0.3132 
   00090    0.5675    -721.1889  0.2801 
   00091    0.6700    -694.3782  0.3083 
   00092    0.6425    -720.6814  0.3041 
   00093    0.6525    -759.1226  0.3004 
   00094    0.6175    -749.1786  0.2980 
   00095    0.5975    -778.4289  0.3037 
   00096    0.5975    -745.8852  0.2740 
   00097    0.5675    -773.7245  0.2665 
   00098    0.6175    -794.6315  0.2949 
   00099    0.6575    -773.9632  0.2683 
   00100    0.6000    -806.0439  0.2713 
   00101    0.5975    -792.5462  0.2549 
   00102    0.6025    -753.3122  0.2983 
   00103    0.5525    -787.3042  0.3019 
   00104    0.5825    -724.6115  0.2822 
   00105    0.6375    -751.7676  0.2785 
   00106    0.5750    -728.5623  0.3074 
   00107    0.5975    -760.6794  0.3280 
   00108    0.5800    -766.6616  0.2935 
