#=====================================================
# File created:        Tue-04-Nov-2025-at-02-15-39AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.200
# Run time (s):        3.027368
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -389.1348  0.3908 
   00001    0.7275    -485.6570  0.2852 
   00002    0.7200    -528.6495  0.3039 
   00003    0.6725    -574.7745  0.3076 
   00004    0.6450    -623.2517  0.3043 
   00005    0.6625    -657.0180  0.3095 
   00006    0.6375    -702.3281  0.3200 
   00007    0.6200    -715.2163  0.3426 
   00008    0.6600    -702.9033  0.3359 
   00009    0.6025    -731.0462  0.3834 
   00010    0.6100    -749.3526  0.3889 
   00011    0.5950    -769.7594  0.3801 
   00012    0.5775    -747.7105  0.3601 
   00013    0.5550    -751.7761  0.3799 
   00014    0.5350    -768.9313  0.3648 
   00015    0.5925    -781.0047  0.3834 
   00016    0.5925    -773.7971  0.3517 
   00017    0.5875    -795.7195  0.3476 
   00018    0.6200    -816.3572  0.3317 
   00019    0.5875    -831.4124  0.3593 
   00020    0.5475    -834.4509  0.3737 
   00021    0.5700    -841.6308  0.3976 
   00022    0.5725    -843.8477  0.4021 
   00023    0.6100    -831.9961  0.4103 
   00024    0.6075    -819.5063  0.4175 
   00025    0.5925    -825.6592  0.3994 
   00026    0.5800    -847.6904  0.3660 
   00027    0.5425    -875.4898  0.3910 
   00028    0.5725    -881.4929  0.3801 
   00029    0.5300    -895.6624  0.3774 
   00030    0.5025    -892.5573  0.3825 
   00031    0.5550    -878.4368  0.3707 
   00032    0.5375    -882.2479  0.3476 
   00033    0.5600    -889.4810  0.3394 
   00034    0.5875    -871.0409  0.3572 
   00035    0.5125    -849.0853  0.3530 
   00036    0.5625    -833.7204  0.3120 
   00037    0.5825    -836.4406  0.3264 
   00038    0.5800    -838.0958  0.3335 
   00039    0.5700    -809.0753  0.3610 
   00040    0.5950    -794.2445  0.3544 
   00041    0.5250    -801.8076  0.3697 
   00042    0.6025    -798.8163  0.3735 
   00043    0.4975    -789.7604  0.3680 
   00044    0.5675    -769.2209  0.3618 
   00045    0.5625    -788.2851  0.3702 
   00046    0.5675    -799.2806  0.3838 
   00047    0.5875    -802.6450  0.3709 
   00048    0.5525    -795.4635  0.3637 
   00049    0.5775    -775.1094  0.3662 
   00050    0.5325    -793.7520  0.3850 
   00051    0.5500    -786.8274  0.3791 
   00052    0.5825    -814.5878  0.3734 
   00053    0.5775    -813.4457  0.3695 
   00054    0.5500    -823.2478  0.3840 
   00055    0.5275    -810.8446  0.3852 
   00056    0.6000    -830.7175  0.3834 
   00057    0.5700    -821.8807  0.3724 
   00058    0.6300    -840.4641  0.3665 
   00059    0.5150    -811.3258  0.3697 
   00060    0.6050    -801.5288  0.3636 
   00061    0.5750    -795.2116  0.3507 
   00062    0.5525    -812.9802  0.3250 
   00063    0.5475    -845.9429  0.3219 
   00064    0.5475    -842.5886  0.3530 
   00065    0.6350    -830.8951  0.3429 
   00066    0.5725    -841.3101  0.3603 
   00067    0.4925    -833.1940  0.3584 
   00068    0.5550    -814.8286  0.3579 
   00069    0.5575    -829.3770  0.3761 
   00070    0.5475    -820.5419  0.3662 
   00071    0.5575    -802.1141  0.3471 
   00072    0.5350    -824.6774  0.3445 
   00073    0.5825    -814.3214  0.3328 
   00074    0.6350    -850.0307  0.3509 
   00075    0.5575    -852.5923  0.3490 
   00076    0.5875    -852.3230  0.3606 
   00077    0.5625    -844.9929  0.3745 
   00078    0.5800    -856.2358  0.3772 
   00079    0.5850    -825.8714  0.3626 
   00080    0.5975    -848.2420  0.3672 
   00081    0.5775    -844.9103  0.3439 
   00082    0.5350    -850.1151  0.3621 
   00083    0.5075    -843.8011  0.3465 
   00084    0.5825    -815.6580  0.3446 
