#=====================================================
# File created:        Wed-05-Nov-2025-at-05-07-36AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.150
# Run time (s):        0.156271
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -421.9526  0.2751 
   00001    0.7300    -591.0644  0.2693 
   00002    0.6675    -661.9581  0.2781 
   00003    0.6200    -711.4955  0.2887 
   00004    0.6175    -745.5690  0.2985 
   00005    0.5700    -790.4200  0.2919 
   00006    0.5800    -832.9888  0.3268 
   00007    0.5925    -834.7222  0.3635 
   00008    0.5475    -858.1498  0.3453 
   00009    0.5200    -836.2446  0.3308 
   00010    0.5800    -852.6457  0.3304 
   00011    0.5700    -858.9026  0.3675 
   00012    0.5475    -838.1325  0.4029 
   00013    0.5700    -840.2081  0.4296 
   00014    0.6150    -824.2370  0.4108 
   00015    0.5775    -823.0528  0.3989 
   00016    0.5625    -842.4350  0.4179 
   00017    0.5600    -797.1444  0.4159 
   00018    0.5750    -787.1792  0.3821 
   00019    0.6150    -826.7025  0.3920 
   00020    0.5225    -821.0203  0.3859 
   00021    0.5750    -848.0986  0.3508 
   00022    0.5225    -814.9574  0.3660 
   00023    0.5650    -797.6384  0.3543 
   00024    0.5400    -826.7492  0.3435 
   00025    0.5200    -866.7937  0.3449 
   00026    0.4925    -825.1078  0.3336 
   00027    0.5300    -844.0717  0.3465 
   00028    0.5525    -820.9687  0.3040 
   00029    0.5650    -863.2802  0.2786 
   00030    0.5150    -837.2440  0.2974 
   00031    0.5425    -884.4870  0.2705 
   00032    0.5425    -876.2921  0.2610 
   00033    0.5475    -853.2792  0.2799 
   00034    0.5325    -841.8656  0.2766 
   00035    0.5150    -829.6070  0.2992 
   00036    0.5275    -841.8452  0.2617 
   00037    0.5450    -848.6987  0.2781 
   00038    0.5200    -830.2501  0.3033 
   00039    0.5300    -851.4575  0.3277 
   00040    0.5650    -872.7170  0.3796 
   00041    0.5400    -867.1052  0.3703 
   00042    0.5300    -874.7275  0.3820 
   00043    0.5050    -884.6111  0.3651 
   00044    0.5250    -887.7165  0.3448 
   00045    0.5150    -897.2923  0.3395 
   00046    0.5325    -890.4261  0.3090 
   00047    0.5100    -878.7665  0.3235 
   00048    0.5375    -860.2181  0.3041 
   00049    0.5525    -828.7913  0.3085 
   00050    0.5650    -838.9154  0.3301 
   00051    0.5800    -817.9908  0.3579 
   00052    0.5925    -833.4962  0.3546 
   00053    0.5725    -811.8815  0.3808 
   00054    0.5350    -832.0588  0.3960 
   00055    0.5425    -882.3161  0.4019 
   00056    0.5400    -849.4417  0.3944 
   00057    0.5025    -868.8449  0.3767 
   00058    0.5300    -865.5664  0.3647 
   00059    0.5500    -873.1636  0.3808 
   00060    0.5350    -908.9426  0.3803 
   00061    0.5725    -882.8285  0.4088 
   00062    0.5400    -908.3981  0.4093 
   00063    0.5075    -869.6910  0.3924 
   00064    0.5375    -885.2254  0.3827 
   00065    0.5325    -856.7443  0.3810 
   00066    0.5575    -875.8159  0.3881 
   00067    0.5550    -840.1092  0.3921 
   00068    0.6000    -832.9168  0.4274 
   00069    0.5700    -811.5250  0.4325 
   00070    0.6075    -796.2840  0.3933 
   00071    0.6000    -785.8719  0.4228 
   00072    0.5475    -792.2840  0.3914 
   00073    0.5450    -779.5682  0.3255 
   00074    0.5850    -775.4498  0.3537 
   00075    0.6150    -828.6999  0.3924 
   00076    0.5375    -875.6570  0.3578 
   00077    0.5250    -809.3388  0.3326 
   00078    0.5775    -810.4189  0.3474 
   00079    0.5900    -794.2133  0.3276 
   00080    0.5425    -871.1717  0.3465 
   00081    0.5425    -827.8166  0.3071 
   00082    0.5600    -776.2194  0.2780 
   00083    0.5950    -803.6652  0.2700 
   00084    0.5375    -802.9870  0.2789 
   00085    0.5900    -814.5113  0.2972 
   00086    0.5325    -804.0972  0.2738 
   00087    0.5525    -820.7067  0.3012 
   00088    0.5475    -807.9399  0.2769 
   00089    0.5800    -811.2633  0.2539 
   00090    0.5550    -781.5603  0.2824 
   00091    0.5350    -819.3645  0.2715 
   00092    0.5525    -854.7313  0.2672 
   00093    0.5225    -867.2314  0.2940 
   00094    0.5350    -894.7457  0.3175 
   00095    0.5475    -868.3868  0.3438 
   00096    0.5500    -890.5102  0.3611 
   00097    0.4875    -878.4916  0.3947 
   00098    0.5575    -823.7135  0.3812 
   00099    0.5250    -818.0740  0.3745 
   00100    0.5400    -835.4232  0.3304 
   00101    0.5800    -854.9214  0.3494 
   00102    0.5175    -847.4345  0.3480 
