#=====================================================
# File created:        Tue-04-Nov-2025-at-06-46-08AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.700
# Run time (s):        0.345678
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -381.3292  0.2709 
   00001    0.6350    -602.2119  0.2525 
   00002    0.6175    -710.8261  0.2619 
   00003    0.6200    -805.6569  0.2565 
   00004    0.5725    -886.9543  0.2705 
   00005    0.4925    -907.5144  0.2419 
   00006    0.5075    -939.8765  0.2507 
   00007    0.5150    -974.9857  0.2878 
   00008    0.4775    -976.3038  0.2323 
   00009    0.4900   -1026.5540  0.2689 
   00010    0.4900   -1020.8481  0.2941 
   00011    0.4800   -1002.5095  0.3108 
   00012    0.4225   -1058.1345  0.2878 
   00013    0.4750   -1059.2897  0.2976 
   00014    0.4650   -1060.4157  0.3186 
   00015    0.4425   -1071.6092  0.3233 
   00016    0.4375   -1089.5231  0.3421 
   00017    0.4375   -1135.5790  0.3508 
   00018    0.4800   -1154.6890  0.3616 
   00019    0.4150   -1154.4517  0.3974 
   00020    0.4350   -1150.3361  0.3874 
   00021    0.4675   -1156.8712  0.3570 
   00022    0.4200   -1165.0027  0.3476 
   00023    0.4250   -1126.1963  0.3624 
   00024    0.4400   -1108.1521  0.3430 
   00025    0.4475   -1105.3706  0.3185 
   00026    0.4525   -1127.9437  0.3334 
   00027    0.4175   -1159.4946  0.3438 
   00028    0.4475   -1173.3659  0.3412 
   00029    0.4075   -1166.1849  0.3318 
   00030    0.4325   -1168.9177  0.3499 
   00031    0.4475   -1153.2463  0.3453 
   00032    0.4025   -1178.8838  0.3274 
   00033    0.3900   -1184.1531  0.3126 
   00034    0.3925   -1190.2102  0.3094 
   00035    0.4350   -1221.4835  0.2742 
   00036    0.4025   -1192.0845  0.2990 
   00037    0.4150   -1193.2900  0.2759 
   00038    0.3925   -1175.0354  0.2575 
   00039    0.4450   -1184.3784  0.3457 
   00040    0.4000   -1169.2721  0.3552 
   00041    0.3975   -1200.5085  0.3713 
   00042    0.3925   -1208.9556  0.3801 
   00043    0.4550   -1204.1616  0.3503 
   00044    0.4200   -1196.2345  0.3735 
   00045    0.4125   -1214.5738  0.3738 
   00046    0.4300   -1209.6287  0.3316 
   00047    0.4200   -1220.5903  0.3632 
   00048    0.4325   -1177.5108  0.3587 
   00049    0.4325   -1179.4913  0.3489 
   00050    0.4275   -1178.4642  0.3146 
   00051    0.4300   -1188.8382  0.3298 
   00052    0.4375   -1172.7482  0.3040 
   00053    0.4375   -1127.7476  0.3180 
   00054    0.4250   -1132.6630  0.3016 
   00055    0.4350   -1169.6702  0.2940 
   00056    0.4250   -1170.4525  0.3324 
   00057    0.4350   -1167.0752  0.3167 
   00058    0.4400   -1185.6507  0.3010 
   00059    0.3900   -1161.6605  0.2940 
   00060    0.4575   -1155.7151  0.2819 
   00061    0.4500   -1176.3642  0.2807 
   00062    0.4375   -1165.3516  0.2631 
   00063    0.4675   -1159.1008  0.3226 
   00064    0.4125   -1144.4350  0.2738 
   00065    0.4200   -1183.1674  0.2992 
   00066    0.4150   -1179.4282  0.2976 
   00067    0.4325   -1178.9836  0.2585 
   00068    0.4825   -1180.9548  0.2873 
   00069    0.4500   -1150.2292  0.2677 
   00070    0.4250   -1159.3202  0.2848 
   00071    0.4825   -1178.5498  0.2215 
   00072    0.4300   -1179.6969  0.2344 
   00073    0.4300   -1169.7922  0.2457 
   00074    0.3675   -1186.5434  0.2599 
