#=====================================================
# File created:        Tue-04-Nov-2025-at-06-36-04AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.950
# Run time (s):        3.079388
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -408.6422  0.2870 
   00001    0.7475    -449.9224  0.2913 
   00002    0.6350    -547.9867  0.3003 
   00003    0.7100    -621.2024  0.3221 
   00004    0.6825    -648.6450  0.3383 
   00005    0.6300    -678.3409  0.3438 
   00006    0.6000    -696.8222  0.3463 
   00007    0.5850    -722.1565  0.3554 
   00008    0.6125    -730.9338  0.3325 
   00009    0.5800    -751.9814  0.3412 
   00010    0.5850    -768.2535  0.3373 
   00011    0.5600    -795.1506  0.3494 
   00012    0.5750    -774.0730  0.3638 
   00013    0.5550    -790.4615  0.3675 
   00014    0.5550    -779.5720  0.3820 
   00015    0.5200    -808.7384  0.3735 
   00016    0.5475    -789.2144  0.3677 
   00017    0.5525    -800.4426  0.3646 
   00018    0.5450    -833.7450  0.3671 
   00019    0.5600    -868.4813  0.3589 
   00020    0.5525    -870.0144  0.3607 
   00021    0.5225    -884.4097  0.3497 
   00022    0.5250    -871.2505  0.3588 
   00023    0.5525    -881.5053  0.3601 
   00024    0.5025    -875.5967  0.3596 
   00025    0.5325    -878.5630  0.3497 
   00026    0.5450    -864.0939  0.3658 
   00027    0.4875    -901.2611  0.3744 
   00028    0.5275    -887.6787  0.3646 
   00029    0.5275    -898.2978  0.3746 
   00030    0.5200    -885.9428  0.3733 
   00031    0.5125    -883.6667  0.3667 
   00032    0.5475    -893.7553  0.3733 
   00033    0.4625    -889.5360  0.3547 
   00034    0.4825    -913.6640  0.3610 
   00035    0.4725    -932.0805  0.3838 
   00036    0.5250    -944.6610  0.4128 
   00037    0.4900    -941.8500  0.4116 
   00038    0.5075    -955.2595  0.4227 
   00039    0.4950    -963.3895  0.4163 
   00040    0.5350    -980.9662  0.4077 
   00041    0.4925    -966.6418  0.4026 
   00042    0.4700    -943.6295  0.4060 
   00043    0.4850    -949.0082  0.4089 
   00044    0.4925    -945.5021  0.3973 
   00045    0.4775    -928.6394  0.3964 
   00046    0.4600    -926.0616  0.3943 
   00047    0.4900    -944.5104  0.3944 
   00048    0.4900    -935.9500  0.4027 
   00049    0.4825    -921.4410  0.4154 
   00050    0.4625    -916.0489  0.4094 
   00051    0.5225    -917.3784  0.4059 
   00052    0.5250    -942.1883  0.4089 
   00053    0.4625    -932.8128  0.4195 
   00054    0.5075    -927.3319  0.4332 
   00055    0.5325    -927.7058  0.4350 
   00056    0.4575    -926.1470  0.4305 
   00057    0.5000    -940.7836  0.4260 
   00058    0.4800    -943.2124  0.4169 
   00059    0.4925    -925.2695  0.4209 
   00060    0.5000    -952.5146  0.4173 
   00061    0.4925    -966.4297  0.4023 
   00062    0.5250    -954.0995  0.3907 
   00063    0.5100    -966.4266  0.3924 
   00064    0.4925    -970.6939  0.3626 
   00065    0.4850    -979.2974  0.3586 
   00066    0.5200    -973.3570  0.3590 
   00067    0.5100    -966.8506  0.3580 
   00068    0.4475    -953.8926  0.3606 
   00069    0.5325    -955.7802  0.3664 
   00070    0.4975    -977.5450  0.3779 
   00071    0.4875    -987.0842  0.3777 
   00072    0.4450    -984.1082  0.3919 
   00073    0.4825    -983.3566  0.4088 
   00074    0.5175   -1010.7440  0.4222 
   00075    0.4875   -1019.6666  0.4428 
   00076    0.4800   -1015.7562  0.4432 
   00077    0.4975    -992.8017  0.4397 
   00078    0.4650   -1010.2448  0.4460 
   00079    0.4900   -1028.8996  0.4390 
   00080    0.4825   -1026.2151  0.4223 
   00081    0.5150   -1002.0522  0.4268 
   00082    0.5050   -1023.6565  0.4289 
   00083    0.4900   -1036.0970  0.4415 
   00084    0.4450   -1027.2653  0.4464 
   00085    0.4825   -1016.2517  0.4267 
   00086    0.4925   -1029.6540  0.4318 
   00087    0.4875   -1014.6260  0.4328 
   00088    0.4875   -1002.0908  0.4242 
   00089    0.4850    -985.8335  0.4322 
   00090    0.4800    -989.0771  0.4388 
   00091    0.4700    -970.3214  0.4560 
   00092    0.4950    -950.0407  0.4678 
   00093    0.4675    -951.7202  0.4721 
   00094    0.4925    -937.8806  0.4835 
   00095    0.4400    -923.5650  0.4875 
   00096    0.4675    -937.6824  0.4813 
   00097    0.5175    -959.6737  0.4955 
   00098    0.4450    -958.0729  0.4804 
   00099    0.4975    -983.2331  0.4873 
   00100    0.4400   -1011.4720  0.4936 
   00101    0.4650   -1017.8828  0.4978 
   00102    0.4375   -1028.0234  0.5056 
   00103    0.4775   -1036.2217  0.5004 
   00104    0.4475   -1025.9531  0.4798 
   00105    0.5050   -1002.9912  0.4590 
   00106    0.5025   -1016.7482  0.4575 
   00107    0.5125   -1000.2436  0.4401 
   00108    0.5100    -996.8789  0.4274 
   00109    0.5100    -977.4323  0.4512 
   00110    0.4350    -970.7906  0.4529 
   00111    0.5075    -965.1617  0.4734 
   00112    0.4650    -966.5792  0.4445 
   00113    0.4850    -964.0921  0.4410 
   00114    0.4925    -969.3207  0.4540 
   00115    0.5200    -958.9690  0.4534 
   00116    0.4900    -945.2331  0.4430 
   00117    0.4700    -968.3596  0.4366 
   00118    0.4625    -957.4365  0.4621 
   00119    0.5225    -964.7582  0.4765 
   00120    0.4575    -949.1056  0.4793 
   00121    0.4650    -979.6581  0.4757 
   00122    0.4600    -988.3593  0.4822 
   00123    0.4850   -1015.6746  0.4725 
   00124    0.4475   -1003.4549  0.4895 
   00125    0.4500   -1000.4688  0.4885 
   00126    0.4725    -987.7630  0.5011 
   00127    0.5050    -973.1591  0.5074 
   00128    0.5325    -937.7737  0.5018 
   00129    0.4750    -905.3626  0.4795 
   00130    0.5075    -887.0248  0.4608 
   00131    0.5075    -914.8970  0.4842 
   00132    0.5325    -954.2433  0.4956 
   00133    0.5175    -945.4432  0.4968 
   00134    0.5100    -964.1901  0.5060 
   00135    0.5175    -934.7369  0.4870 
   00136    0.5375    -970.4739  0.4932 
   00137    0.5525    -962.8045  0.4679 
   00138    0.4825    -934.0108  0.4804 
   00139    0.5275    -928.8987  0.4714 
   00140    0.5225    -920.5147  0.4742 
   00141    0.5250    -936.4958  0.4660 
   00142    0.5275    -935.5058  0.4681 
   00143    0.5350    -913.5047  0.4612 
   00144    0.5275    -894.8875  0.4501 
   00145    0.5075    -896.6160  0.4559 
   00146    0.4450    -905.1886  0.4514 
   00147    0.5050    -897.9140  0.4382 
   00148    0.5375    -919.1957  0.4376 
   00149    0.4900    -929.2558  0.4363 
   00150    0.4900    -932.5967  0.4463 
   00151    0.4975    -926.7142  0.4623 
   00152    0.5000    -917.6601  0.4671 
   00153    0.5000    -934.9988  0.4593 
   00154    0.4775    -941.9292  0.4718 
   00155    0.4775    -957.0012  0.4663 
   00156    0.4850    -957.0324  0.4731 
