#=====================================================
# File created:        Wed-05-Nov-2025-at-04-31-54AM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.100
# Run time (s):        0.777516
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -442.8215  0.2833 
   00001    0.6300    -517.5074  0.2851 
   00002    0.6125    -592.8706  0.2837 
   00003    0.6225    -670.5992  0.2766 
   00004    0.6550    -741.6010  0.2857 
   00005    0.6325    -813.3330  0.2945 
   00006    0.5775    -875.6428  0.3007 
   00007    0.5650    -915.6478  0.3085 
   00008    0.5800    -953.5137  0.3052 
   00009    0.5075    -999.7389  0.3096 
   00010    0.5850   -1022.0995  0.3146 
   00011    0.5925   -1058.1460  0.3268 
   00012    0.5475   -1088.0429  0.3302 
   00013    0.5700   -1118.0186  0.3319 
   00014    0.5525   -1142.6668  0.3275 
   00015    0.5300   -1161.7774  0.3266 
   00016    0.4850   -1178.9695  0.3273 
   00017    0.5725   -1201.2206  0.3306 
   00018    0.5275   -1219.3915  0.3229 
   00019    0.4950   -1232.9480  0.3319 
   00020    0.5675   -1253.5341  0.3400 
   00021    0.5725   -1271.7920  0.3411 
   00022    0.5725   -1284.5920  0.3485 
   00023    0.5425   -1298.7602  0.3567 
   00024    0.5300   -1309.0765  0.3473 
   00025    0.5375   -1313.5168  0.3536 
   00026    0.5225   -1320.9795  0.3640 
   00027    0.5300   -1330.2672  0.3535 
   00028    0.5025   -1340.1903  0.3569 
   00029    0.5775   -1343.5429  0.3615 
   00030    0.5225   -1344.6858  0.3564 
   00031    0.5750   -1347.6812  0.3487 
   00032    0.5250   -1356.1182  0.3492 
   00033    0.5050   -1358.2507  0.3463 
   00034    0.4600   -1369.0606  0.3431 
   00035    0.5325   -1373.9549  0.3391 
   00036    0.4850   -1380.0133  0.3424 
   00037    0.5300   -1384.7873  0.3405 
   00038    0.4875   -1390.0023  0.3414 
   00039    0.4775   -1393.0867  0.3327 
   00040    0.4950   -1395.8169  0.3383 
   00041    0.5325   -1398.1219  0.3345 
   00042    0.4825   -1402.7758  0.3402 
   00043    0.4525   -1399.8169  0.3442 
   00044    0.5250   -1400.9877  0.3460 
   00045    0.4625   -1409.9353  0.3447 
   00046    0.5175   -1412.6993  0.3432 
   00047    0.5175   -1417.6685  0.3427 
   00048    0.5275   -1416.6343  0.3466 
   00049    0.4850   -1420.0695  0.3462 
   00050    0.5150   -1424.8749  0.3477 
   00051    0.5150   -1428.8729  0.3586 
   00052    0.4950   -1434.3336  0.3613 
   00053    0.4875   -1435.2233  0.3587 
   00054    0.5550   -1443.9210  0.3613 
   00055    0.5075   -1444.9012  0.3552 
   00056    0.4900   -1450.0193  0.3575 
   00057    0.4825   -1450.1244  0.3574 
   00058    0.5100   -1447.9238  0.3588 
   00059    0.5000   -1447.9224  0.3635 
   00060    0.4900   -1451.3262  0.3645 
   00061    0.5200   -1453.8408  0.3675 
   00062    0.5100   -1455.0710  0.3644 
   00063    0.4950   -1458.8801  0.3610 
   00064    0.5200   -1462.7683  0.3598 
   00065    0.5300   -1462.7168  0.3692 
   00066    0.5100   -1463.1526  0.3709 
   00067    0.5075   -1465.2857  0.3716 
   00068    0.5175   -1461.5952  0.3675 
   00069    0.4850   -1464.8765  0.3656 
   00070    0.5050   -1465.0208  0.3617 
   00071    0.5375   -1465.1096  0.3624 
   00072    0.4900   -1463.8359  0.3663 
   00073    0.4600   -1464.5851  0.3718 
   00074    0.5025   -1467.7222  0.3775 
   00075    0.4750   -1470.8279  0.3761 
   00076    0.5250   -1472.5637  0.3797 
   00077    0.5100   -1473.7657  0.3783 
   00078    0.4875   -1477.3063  0.3744 
   00079    0.5200   -1475.6052  0.3768 
   00080    0.4950   -1473.5119  0.3689 
   00081    0.4675   -1473.8531  0.3737 
   00082    0.5200   -1475.2802  0.3782 
   00083    0.4525   -1477.9007  0.3751 
   00084    0.5075   -1476.7072  0.3828 
   00085    0.5200   -1474.0070  0.3857 
   00086    0.5350   -1472.8347  0.3863 
   00087    0.4900   -1473.7290  0.3889 
   00088    0.5125   -1480.0541  0.3916 
   00089    0.4975   -1480.7171  0.3950 
   00090    0.4850   -1484.2814  0.3960 
   00091    0.4625   -1480.0986  0.3986 
   00092    0.5075   -1481.0800  0.3984 
   00093    0.4975   -1477.9012  0.3988 
   00094    0.5125   -1480.7363  0.4023 
   00095    0.4850   -1478.3916  0.4097 
   00096    0.4875   -1477.3825  0.4116 
   00097    0.4900   -1477.7139  0.4175 
   00098    0.4475   -1478.8118  0.4230 
   00099    0.4625   -1480.3183  0.4218 
   00100    0.5050   -1479.4367  0.4168 
