#=====================================================
# File created:        Mon-03-Nov-2025-at-12-06-42AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.600
# Run time (s):        2.429999
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2538.2017  0.2612 
   00001    0.6780   -3729.4461  0.2679 
   00002    0.6148   -4444.9270  0.2660 
   00003    0.5760   -4977.7999  0.2766 
   00004    0.5272   -5332.5852  0.2745 
   00005    0.5280   -5544.7073  0.2638 
   00006    0.5260   -5851.7298  0.2568 
   00007    0.5024   -6107.7277  0.2615 
   00008    0.4868   -6274.8470  0.2613 
   00009    0.4940   -6396.0049  0.2651 
   00010    0.4928   -6465.7048  0.2644 
   00011    0.4836   -6618.1070  0.2570 
   00012    0.4708   -6756.1338  0.2673 
   00013    0.4656   -6810.2912  0.2584 
   00014    0.4484   -6927.9352  0.2587 
   00015    0.4500   -6972.5111  0.2676 
   00016    0.4416   -6980.2828  0.2671 
   00017    0.4488   -7019.2961  0.2622 
   00018    0.4388   -7104.1563  0.2672 
   00019    0.4488   -7160.6856  0.2647 
   00020    0.4300   -7207.7556  0.2592 
   00021    0.4544   -7196.1052  0.2561 
   00022    0.4452   -7230.3359  0.2648 
   00023    0.4528   -7237.2728  0.2692 
   00024    0.4460   -7377.4899  0.2689 
   00025    0.4356   -7406.3213  0.2665 
   00026    0.4308   -7403.7884  0.2713 
   00027    0.4268   -7391.4349  0.2657 
   00028    0.4384   -7410.2976  0.2712 
   00029    0.4536   -7412.9150  0.2714 
   00030    0.4456   -7473.4766  0.2795 
   00031    0.4252   -7493.0784  0.2790 
   00032    0.4340   -7516.2946  0.2848 
   00033    0.4368   -7489.7693  0.2777 
   00034    0.4424   -7552.0145  0.2664 
   00035    0.4168   -7590.1573  0.2724 
   00036    0.4524   -7628.6044  0.2866 
   00037    0.4216   -7635.7557  0.2863 
   00038    0.4192   -7630.6061  0.2863 
   00039    0.4296   -7649.8582  0.2932 
   00040    0.4112   -7630.2011  0.2946 
   00041    0.4388   -7690.1166  0.2963 
   00042    0.4096   -7716.1242  0.2994 
   00043    0.4056   -7748.8420  0.3070 
   00044    0.4180   -7734.5293  0.3185 
   00045    0.4240   -7778.6017  0.3138 
   00046    0.4212   -7748.3053  0.3190 
   00047    0.4092   -7725.4287  0.3264 
   00048    0.4256   -7734.9235  0.3279 
   00049    0.4168   -7734.4780  0.3293 
   00050    0.4156   -7759.9691  0.3319 
