#=====================================================
# File created:        Wed-05-Nov-2025-at-05-08-49AM
# Size of lattice:     20x20
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        0.620190
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -380.3274  0.2910 
   00001    0.6350    -586.7632  0.2765 
   00002    0.5850    -704.1463  0.2827 
   00003    0.6150    -793.7372  0.3011 
   00004    0.5200    -863.2503  0.2900 
   00005    0.5300    -921.2642  0.2836 
   00006    0.5150    -974.3732  0.2961 
   00007    0.5125   -1030.5990  0.2820 
   00008    0.4550   -1045.0196  0.2883 
   00009    0.4850   -1081.6870  0.2908 
   00010    0.5100   -1103.8712  0.2981 
   00011    0.4400   -1099.0822  0.3088 
   00012    0.4575   -1111.0587  0.2855 
   00013    0.4875   -1111.5403  0.2848 
   00014    0.4675   -1120.5003  0.2902 
   00015    0.4525   -1129.6933  0.3109 
   00016    0.4825   -1149.4176  0.3030 
   00017    0.4825   -1174.0091  0.3176 
   00018    0.4325   -1174.0188  0.3136 
   00019    0.4125   -1183.8294  0.3272 
   00020    0.5000   -1182.6992  0.3179 
   00021    0.4525   -1188.8605  0.3253 
   00022    0.4275   -1194.1721  0.3325 
   00023    0.4675   -1199.9995  0.3466 
   00024    0.4850   -1203.4326  0.3471 
   00025    0.4150   -1223.4331  0.3618 
   00026    0.4750   -1244.0692  0.3467 
   00027    0.4400   -1232.2990  0.3526 
   00028    0.4975   -1236.0005  0.3666 
   00029    0.4775   -1232.9060  0.3771 
   00030    0.4325   -1238.3255  0.3655 
   00031    0.4075   -1256.4307  0.3775 
   00032    0.4575   -1242.7415  0.3537 
   00033    0.4275   -1247.5540  0.3563 
   00034    0.4075   -1231.7129  0.3435 
   00035    0.4775   -1245.6423  0.3611 
   00036    0.4875   -1217.7353  0.3789 
   00037    0.4650   -1219.3614  0.3795 
   00038    0.4375   -1218.1489  0.3924 
   00039    0.4225   -1233.1108  0.3919 
   00040    0.4500   -1244.2083  0.4181 
   00041    0.4125   -1246.2618  0.4220 
   00042    0.4550   -1249.0022  0.4254 
   00043    0.4300   -1255.8525  0.4188 
   00044    0.4300   -1263.1572  0.4151 
   00045    0.4425   -1281.1177  0.4295 
   00046    0.4175   -1262.0340  0.4437 
   00047    0.4700   -1248.2521  0.4398 
   00048    0.4175   -1273.0515  0.4411 
   00049    0.4325   -1258.7712  0.4422 
   00050    0.4275   -1256.2324  0.4513 
   00051    0.4125   -1266.9910  0.4325 
   00052    0.4200   -1256.7429  0.4398 
   00053    0.4500   -1261.3599  0.4197 
   00054    0.4550   -1275.7180  0.4174 
   00055    0.3975   -1285.6154  0.4155 
   00056    0.4300   -1280.2591  0.4127 
   00057    0.4625   -1278.1316  0.4117 
   00058    0.4350   -1268.4402  0.4188 
   00059    0.4150   -1275.8091  0.4030 
   00060    0.4000   -1288.0142  0.3989 
   00061    0.4050   -1301.4456  0.3970 
   00062    0.4550   -1309.1974  0.3813 
   00063    0.4650   -1314.5735  0.3802 
   00064    0.4125   -1306.0313  0.3685 
   00065    0.3825   -1304.5377  0.3833 
   00066    0.3875   -1298.4820  0.3943 
   00067    0.4475   -1302.1274  0.3953 
   00068    0.3775   -1298.2408  0.3916 
   00069    0.4550   -1293.3557  0.3842 
   00070    0.3725   -1304.7265  0.3930 
   00071    0.3625   -1294.7656  0.3837 
   00072    0.4250   -1307.5120  0.3814 
   00073    0.4200   -1328.7319  0.3842 
   00074    0.4525   -1317.1387  0.3850 
   00075    0.3925   -1320.6858  0.3876 
   00076    0.4675   -1308.4986  0.3882 
   00077    0.4125   -1300.4952  0.3866 
   00078    0.4400   -1288.0116  0.3847 
   00079    0.4425   -1287.7570  0.3993 
   00080    0.3975   -1295.5483  0.4051 
   00081    0.4325   -1298.2226  0.4136 
   00082    0.4075   -1287.4648  0.4173 
   00083    0.4650   -1287.7597  0.4322 
   00084    0.4175   -1293.4930  0.4322 
   00085    0.4150   -1299.9290  0.4521 
   00086    0.4300   -1282.7229  0.4422 
   00087    0.4350   -1290.2269  0.4413 
   00088    0.4425   -1295.7807  0.4586 
   00089    0.4075   -1306.0322  0.4613 
   00090    0.4375   -1285.8739  0.4574 
   00091    0.4050   -1301.1955  0.4751 
   00092    0.3925   -1311.8501  0.4609 
   00093    0.3850   -1312.7784  0.4532 
   00094    0.4700   -1332.3861  0.4696 
   00095    0.3950   -1324.9162  0.4559 
   00096    0.4450   -1321.5066  0.4461 
   00097    0.4025   -1321.1729  0.4589 
   00098    0.3825   -1314.1120  0.4676 
   00099    0.3900   -1315.1792  0.4660 
   00100    0.4150   -1315.2021  0.4442 
