#=====================================================
# File created:        Tue-04-Nov-2025-at-06-46-12AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.250
# Run time (s):        0.362422
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -388.2925  0.2629 
   00001    0.6875    -573.9403  0.2839 
   00002    0.6425    -643.8399  0.2181 
   00003    0.6275    -673.6642  0.2755 
   00004    0.6300    -686.6650  0.2752 
   00005    0.6325    -737.6298  0.2792 
   00006    0.6050    -787.8873  0.2958 
   00007    0.5825    -783.0509  0.2811 
   00008    0.5900    -744.7405  0.2182 
   00009    0.5775    -738.8879  0.2663 
   00010    0.5925    -752.2445  0.2684 
   00011    0.6375    -802.7978  0.2416 
   00012    0.5700    -844.0178  0.2643 
   00013    0.5675    -842.9370  0.3042 
   00014    0.5150    -819.1189  0.3027 
   00015    0.5675    -842.4682  0.3388 
   00016    0.5500    -851.7768  0.2706 
   00017    0.5350    -835.3076  0.3093 
   00018    0.5425    -868.0796  0.3298 
   00019    0.5375    -882.8579  0.2759 
   00020    0.5575    -873.2993  0.3086 
   00021    0.6000    -853.3585  0.2891 
   00022    0.5025    -869.7330  0.3048 
   00023    0.5350    -826.6182  0.2919 
   00024    0.5850    -845.3531  0.2748 
   00025    0.5250    -875.2208  0.2840 
   00026    0.5725    -841.3836  0.3254 
   00027    0.5675    -828.4905  0.3375 
   00028    0.5450    -830.6790  0.3233 
   00029    0.5850    -814.8866  0.2764 
   00030    0.5925    -807.5798  0.2643 
   00031    0.5850    -802.7647  0.2518 
   00032    0.5925    -755.5701  0.2634 
   00033    0.5750    -769.8569  0.2746 
   00034    0.6325    -767.5543  0.2583 
   00035    0.6475    -771.2593  0.2603 
   00036    0.6200    -777.8696  0.2535 
   00037    0.6000    -775.1657  0.2466 
   00038    0.6000    -790.3095  0.2549 
   00039    0.6175    -810.5676  0.2778 
   00040    0.5850    -810.6322  0.2594 
   00041    0.5625    -814.2668  0.3109 
   00042    0.6050    -745.1180  0.2672 
   00043    0.5900    -774.3508  0.2913 
   00044    0.6075    -782.2190  0.2665 
   00045    0.5800    -819.9118  0.3068 
   00046    0.5500    -805.1041  0.3447 
   00047    0.5850    -803.9275  0.3762 
   00048    0.5350    -783.0470  0.3520 
   00049    0.5250    -803.7041  0.3518 
   00050    0.5550    -823.7491  0.2972 
   00051    0.5350    -809.4213  0.3057 
   00052    0.5775    -796.9312  0.3390 
   00053    0.5725    -790.9617  0.3291 
   00054    0.5475    -823.0085  0.3536 
   00055    0.5325    -800.7246  0.3611 
   00056    0.5975    -815.5728  0.2945 
   00057    0.5350    -825.2437  0.3009 
   00058    0.5300    -851.3943  0.2780 
   00059    0.5475    -855.3533  0.2606 
   00060    0.5975    -778.3796  0.3029 
   00061    0.5225    -825.7660  0.3134 
   00062    0.5900    -819.7949  0.2960 
   00063    0.5625    -819.7170  0.3313 
   00064    0.5700    -841.1018  0.3783 
   00065    0.5625    -866.0324  0.3987 
   00066    0.5200    -830.5953  0.3638 
   00067    0.6200    -842.0702  0.3423 
   00068    0.6000    -811.3238  0.3099 
