#=====================================================
# File created:        Tue-04-Nov-2025-at-02-15-33AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.100
# Run time (s):        2.980821
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -415.6564  0.4043 
   00001    0.7075    -474.7507  0.2841 
   00002    0.6875    -540.6333  0.2930 
   00003    0.6875    -546.7120  0.2805 
   00004    0.6925    -573.4842  0.2818 
   00005    0.6825    -602.4257  0.2800 
   00006    0.6250    -653.2670  0.2876 
   00007    0.6425    -697.1611  0.2917 
   00008    0.6225    -711.4748  0.3115 
   00009    0.5775    -745.2281  0.3197 
   00010    0.5300    -792.0625  0.3132 
   00011    0.5950    -811.8537  0.3121 
   00012    0.5600    -821.7605  0.3003 
   00013    0.5550    -817.6944  0.2944 
   00014    0.5900    -800.1892  0.2976 
   00015    0.5675    -803.1158  0.2838 
   00016    0.5675    -791.3163  0.2861 
   00017    0.5700    -788.5958  0.2974 
   00018    0.5450    -811.0349  0.2858 
   00019    0.5500    -808.1264  0.2819 
   00020    0.5950    -837.6846  0.2855 
   00021    0.5675    -832.0701  0.2781 
   00022    0.5725    -882.0822  0.2570 
   00023    0.5050    -902.8615  0.2627 
   00024    0.5375    -904.0706  0.2874 
   00025    0.5275    -891.2664  0.2836 
   00026    0.5400    -885.8355  0.2862 
   00027    0.5175    -899.5541  0.2942 
   00028    0.5225    -912.4046  0.2883 
   00029    0.5150    -902.2774  0.2852 
   00030    0.5200    -918.7595  0.2864 
   00031    0.5400    -898.2965  0.2832 
   00032    0.4950    -892.8280  0.2820 
   00033    0.5525    -869.6852  0.2941 
   00034    0.5575    -870.2077  0.2964 
   00035    0.5625    -878.8911  0.2880 
   00036    0.5300    -860.7016  0.2801 
   00037    0.5000    -858.2930  0.2547 
   00038    0.5375    -875.5694  0.2633 
   00039    0.5625    -890.9130  0.2767 
   00040    0.5375    -898.3715  0.2588 
   00041    0.5100    -874.4913  0.2563 
   00042    0.5275    -846.6108  0.2752 
   00043    0.5250    -849.8352  0.2870 
   00044    0.5225    -823.4413  0.2996 
   00045    0.5650    -839.2541  0.2692 
   00046    0.5025    -828.6038  0.2820 
   00047    0.5125    -858.9068  0.2903 
   00048    0.5400    -879.2125  0.2803 
   00049    0.5325    -910.0771  0.2856 
   00050    0.5125    -897.6798  0.2834 
   00051    0.5475    -904.2379  0.2781 
   00052    0.5200    -893.6317  0.2755 
   00053    0.4750    -890.6412  0.2686 
   00054    0.5250    -884.0979  0.2719 
   00055    0.5125    -880.1268  0.2588 
   00056    0.4750    -890.0983  0.2623 
   00057    0.5550    -875.2742  0.2776 
   00058    0.5250    -862.2389  0.2916 
   00059    0.5200    -864.5987  0.2927 
