#=====================================================
# File created:        Wed-05-Nov-2025-at-05-07-36AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 1.050
# Run time (s):        0.161490
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -418.4688  0.2799 
   00001    0.6925    -588.5186  0.2709 
   00002    0.6225    -665.4320  0.2755 
   00003    0.6200    -754.5439  0.2930 
   00004    0.5575    -758.2883  0.3156 
   00005    0.6100    -789.8262  0.3465 
   00006    0.5525    -831.5609  0.3443 
   00007    0.5950    -835.1641  0.3343 
   00008    0.5475    -852.8969  0.3495 
   00009    0.5500    -820.9292  0.3465 
   00010    0.5975    -844.3489  0.3418 
   00011    0.5500    -847.1441  0.3263 
   00012    0.5075    -846.3661  0.3343 
   00013    0.5300    -884.5945  0.3354 
   00014    0.5300    -905.2837  0.3389 
   00015    0.5675    -887.2717  0.3251 
   00016    0.5075    -907.5640  0.3211 
   00017    0.5225    -912.3503  0.3265 
   00018    0.5300    -917.3589  0.3287 
   00019    0.5100    -907.2399  0.3426 
   00020    0.5550    -902.7840  0.3278 
   00021    0.5375    -890.3466  0.3060 
   00022    0.5225    -905.0954  0.3215 
   00023    0.5150    -923.0064  0.3368 
   00024    0.4875    -881.2679  0.2944 
   00025    0.4925    -920.1421  0.3107 
   00026    0.5200    -931.0435  0.2970 
   00027    0.5400    -891.0564  0.3184 
   00028    0.5275    -864.0907  0.3181 
   00029    0.5625    -881.0920  0.2972 
   00030    0.4900    -898.5228  0.3270 
   00031    0.5050    -915.7816  0.3312 
   00032    0.4975    -918.0396  0.3449 
   00033    0.5400    -849.1132  0.3418 
   00034    0.5325    -884.7881  0.3553 
   00035    0.5175    -926.1751  0.3418 
   00036    0.5175    -934.5789  0.3010 
   00037    0.4975    -938.1067  0.2778 
   00038    0.4875    -908.1093  0.3317 
   00039    0.4875    -928.4761  0.3143 
   00040    0.5300    -896.6723  0.2841 
   00041    0.5300    -884.9634  0.2663 
   00042    0.5175    -904.6064  0.2933 
   00043    0.5125    -892.4060  0.3101 
   00044    0.5725    -883.1358  0.3187 
   00045    0.5600    -898.4735  0.3565 
   00046    0.4825    -874.9708  0.3447 
   00047    0.5375    -865.2957  0.3562 
   00048    0.5250    -898.0498  0.3336 
   00049    0.4550    -868.4987  0.3332 
   00050    0.5425    -913.6293  0.3410 
   00051    0.5100    -958.9827  0.3687 
   00052    0.4700    -925.2011  0.3481 
   00053    0.5025    -916.7842  0.3379 
   00054    0.5325    -898.0822  0.2995 
   00055    0.5225    -902.4733  0.2966 
   00056    0.4975    -910.1552  0.2653 
   00057    0.4850    -921.2408  0.2821 
   00058    0.5225    -967.5991  0.2709 
   00059    0.4825    -948.7950  0.2796 
   00060    0.5000    -955.6520  0.2609 
   00061    0.4950    -926.7735  0.2753 
   00062    0.5200    -897.8826  0.2833 
   00063    0.5325    -895.5267  0.2958 
   00064    0.4775    -875.3102  0.2904 
   00065    0.5300    -837.4010  0.2913 
   00066    0.5575    -816.9674  0.2862 
   00067    0.5700    -799.2115  0.2838 
   00068    0.5625    -829.7988  0.2962 
   00069    0.5675    -847.0715  0.3160 
   00070    0.4750    -909.9860  0.3382 
   00071    0.5100    -922.5809  0.3762 
   00072    0.5175    -926.0589  0.3733 
   00073    0.4850    -905.4303  0.3430 
   00074    0.5500    -841.0253  0.3302 
   00075    0.5000    -885.6725  0.3327 
   00076    0.5025    -885.4680  0.3377 
   00077    0.5450    -901.4599  0.3406 
   00078    0.5150    -929.7909  0.2949 
   00079    0.4800    -928.7602  0.2943 
   00080    0.5150    -895.9181  0.2961 
   00081    0.5625    -884.6000  0.2865 
   00082    0.4950    -873.0765  0.2705 
   00083    0.5600    -854.6655  0.2783 
   00084    0.5425    -856.8230  0.2767 
   00085    0.5100    -884.2065  0.2809 
   00086    0.5450    -892.1282  0.3141 
   00087    0.5075    -905.8837  0.2844 
   00088    0.5025    -930.3766  0.2920 
   00089    0.5100    -940.2118  0.3074 
   00090    0.5150    -935.5951  0.3012 
   00091    0.5200    -969.0838  0.3059 
   00092    0.5125    -936.1239  0.3118 
   00093    0.4850    -948.6620  0.3542 
   00094    0.4925    -950.0478  0.3460 
   00095    0.5075    -922.2575  0.3019 
   00096    0.5150    -901.4760  0.3136 
   00097    0.4725    -886.0796  0.3167 
   00098    0.5325    -896.6883  0.3212 
   00099    0.5350    -892.7867  0.3637 
   00100    0.5300    -891.0386  0.3877 
   00101    0.5425    -903.1974  0.4158 
   00102    0.4700    -927.2228  0.4019 
   00103    0.5000    -917.5428  0.4041 
   00104    0.5100    -904.5930  0.3871 
   00105    0.5300    -928.2655  0.3824 
   00106    0.4950    -914.9741  0.3890 
   00107    0.4950    -897.2378  0.3937 
   00108    0.4975    -906.5219  0.3784 
   00109    0.5025    -954.9538  0.4129 
   00110    0.4450    -944.7807  0.4241 
   00111    0.4825    -953.2724  0.4238 
   00112    0.5125    -912.3335  0.4339 
   00113    0.5225    -929.6692  0.4475 
   00114    0.5050    -953.6204  0.4551 
   00115    0.4975    -956.4932  0.4354 
   00116    0.4950    -970.2804  0.4242 
   00117    0.4875    -981.8018  0.4321 
   00118    0.4750    -992.5464  0.4341 
   00119    0.4450    -966.4877  0.4187 
   00120    0.4700    -951.8859  0.4227 
   00121    0.4975    -986.7795  0.4481 
   00122    0.5225    -986.8384  0.4162 
   00123    0.4650    -976.1348  0.4383 
   00124    0.5150    -956.5630  0.4455 
   00125    0.5150    -955.4924  0.4358 
   00126    0.5150    -948.8248  0.4195 
   00127    0.5000    -978.0462  0.4155 
   00128    0.4825    -947.7134  0.3992 
   00129    0.4625    -961.8468  0.3988 
   00130    0.5075    -959.6241  0.3995 
   00131    0.5125    -918.0865  0.4138 
   00132    0.5300    -879.4155  0.4011 
