#=====================================================
# File created:        Wed-05-Nov-2025-at-04-57-43AM
# Size of lattice:     120x120
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        0.374829
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -14378.8949  0.2552 
   00001    0.6760  -21369.6378  0.2566 
   00002    0.6247  -25869.2286  0.2650 
   00003    0.5850  -29280.7658  0.2645 
   00004    0.5505  -31687.8693  0.2625 
   00005    0.5422  -33635.0715  0.2645 
   00006    0.5257  -35390.4609  0.2631 
   00007    0.5121  -36437.5423  0.2615 
   00008    0.4938  -37485.7391  0.2590 
   00009    0.4950  -38612.6845  0.2625 
   00010    0.4744  -39468.7617  0.2630 
   00011    0.4697  -40283.2776  0.2633 
   00012    0.4706  -40958.8243  0.2610 
   00013    0.4751  -41600.1966  0.2631 
   00014    0.4653  -42163.3155  0.2611 
   00015    0.4521  -42690.0722  0.2619 
   00016    0.4560  -42943.1269  0.2617 
   00017    0.4465  -43228.2685  0.2635 
   00018    0.4503  -43507.5235  0.2618 
   00019    0.4476  -43563.8356  0.2651 
   00020    0.4443  -43788.0096  0.2630 
   00021    0.4447  -44019.6092  0.2636 
   00022    0.4448  -44177.7952  0.2649 
   00023    0.4408  -44351.7257  0.2627 
   00024    0.4440  -44551.7503  0.2629 
   00025    0.4406  -44722.7314  0.2623 
   00026    0.4270  -44971.3636  0.2630 
   00027    0.4288  -45004.1431  0.2642 
   00028    0.4349  -45051.4527  0.2646 
   00029    0.4395  -45303.4253  0.2611 
   00030    0.4411  -45366.2834  0.2574 
   00031    0.4320  -45491.6891  0.2578 
   00032    0.4346  -45581.7904  0.2605 
   00033    0.4322  -45668.4319  0.2641 
   00034    0.4330  -45884.1739  0.2627 
   00035    0.4285  -45907.1164  0.2602 
   00036    0.4351  -46039.1262  0.2554 
   00037    0.4238  -46064.9191  0.2583 
   00038    0.4345  -46115.8983  0.2566 
   00039    0.4258  -46209.4589  0.2572 
   00040    0.4277  -46241.2624  0.2562 
   00041    0.4315  -46362.0954  0.2541 
   00042    0.4301  -46429.2075  0.2589 
   00043    0.4194  -46589.0227  0.2587 
   00044    0.4254  -46621.9721  0.2599 
   00045    0.4249  -46638.3720  0.2615 
   00046    0.4284  -46755.4425  0.2638 
   00047    0.4156  -46773.6764  0.2653 
   00048    0.4251  -46917.6924  0.2639 
   00049    0.4267  -46919.7241  0.2643 
   00050    0.4315  -46924.1658  0.2635 
   00051    0.4221  -47022.8136  0.2627 
   00052    0.4235  -46976.9931  0.2626 
   00053    0.4285  -47079.0792  0.2624 
   00054    0.4266  -47085.4038  0.2652 
   00055    0.4279  -47073.1070  0.2676 
   00056    0.4264  -47106.7554  0.2698 
   00057    0.4244  -47102.9976  0.2717 
   00058    0.4230  -47113.5828  0.2730 
   00059    0.4209  -47184.5584  0.2766 
   00060    0.4157  -47219.0354  0.2756 
   00061    0.4186  -47213.9255  0.2751 
   00062    0.4251  -47273.2798  0.2768 
   00063    0.4236  -47207.0624  0.2777 
   00064    0.4241  -47252.2402  0.2772 
   00065    0.4270  -47304.9517  0.2761 
   00066    0.4173  -47382.4886  0.2760 
   00067    0.4209  -47446.5689  0.2764 
   00068    0.4229  -47437.2638  0.2780 
   00069    0.4206  -47422.0315  0.2809 
   00070    0.4240  -47364.7668  0.2807 
   00071    0.4163  -47301.5260  0.2824 
   00072    0.4244  -47331.6872  0.2832 
   00073    0.4216  -47407.0397  0.2832 
   00074    0.4267  -47365.6912  0.2825 
   00075    0.4248  -47317.9837  0.2807 
   00076    0.4224  -47271.7480  0.2801 
   00077    0.4203  -47309.2112  0.2817 
   00078    0.4145  -47269.1769  0.2822 
   00079    0.4209  -47168.2628  0.2829 
   00080    0.4246  -47138.2780  0.2815 
   00081    0.4251  -47295.0925  0.2837 
   00082    0.4237  -47274.6899  0.2860 
   00083    0.4190  -47303.1047  0.2872 
   00084    0.4284  -47448.5192  0.2888 
   00085    0.4197  -47475.7523  0.2896 
   00086    0.4213  -47488.0539  0.2875 
   00087    0.4134  -47446.0961  0.2877 
   00088    0.4210  -47512.6914  0.2874 
   00089    0.4174  -47615.3174  0.2869 
   00090    0.4210  -47771.3585  0.2864 
   00091    0.4246  -47697.7732  0.2869 
   00092    0.4185  -47659.7920  0.2870 
   00093    0.4187  -47801.4975  0.2883 
   00094    0.4242  -47732.6470  0.2886 
   00095    0.4161  -47714.3134  0.2894 
   00096    0.4161  -47771.1906  0.2879 
   00097    0.4190  -47859.3460  0.2856 
   00098    0.4140  -47831.4661  0.2852 
   00099    0.4272  -47795.9550  0.2850 
   00100    0.4229  -47709.6039  0.2852 
