#=====================================================
# File created:        Wed-05-Nov-2025-at-04-35-03AM
# Size of lattice:     140x140
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        36.972238
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -19609.8490  0.2542 
   00001    0.6778  -29128.0396  0.2534 
   00002    0.6241  -35260.3490  0.2550 
   00003    0.5883  -39667.4797  0.2561 
   00004    0.5602  -43130.2443  0.2560 
   00005    0.5397  -45826.4574  0.2550 
   00006    0.5203  -48069.5705  0.2571 
   00007    0.5081  -49868.7692  0.2584 
   00008    0.5017  -51543.8442  0.2604 
   00009    0.4893  -52876.6269  0.2623 
   00010    0.4778  -53892.0921  0.2619 
   00011    0.4807  -54926.0035  0.2611 
   00012    0.4716  -55679.7131  0.2599 
   00013    0.4636  -56451.3948  0.2598 
   00014    0.4637  -57109.5899  0.2590 
   00015    0.4622  -57710.4631  0.2621 
   00016    0.4578  -58239.8046  0.2624 
   00017    0.4513  -58627.8693  0.2585 
   00018    0.4585  -59021.6871  0.2582 
   00019    0.4440  -59410.9235  0.2580 
   00020    0.4461  -59791.3750  0.2567 
   00021    0.4463  -60079.5753  0.2601 
   00022    0.4417  -60362.5225  0.2602 
   00023    0.4489  -60698.7525  0.2617 
   00024    0.4336  -60871.6946  0.2591 
   00025    0.4329  -61200.7104  0.2603 
   00026    0.4306  -61355.7253  0.2640 
   00027    0.4365  -61571.1882  0.2628 
   00028    0.4351  -61658.4556  0.2593 
   00029    0.4286  -61785.3800  0.2587 
   00030    0.4354  -61912.7073  0.2566 
   00031    0.4374  -62023.5228  0.2570 
   00032    0.4356  -62228.6900  0.2566 
   00033    0.4373  -62354.5821  0.2593 
   00034    0.4271  -62485.5093  0.2606 
   00035    0.4268  -62630.8152  0.2595 
   00036    0.4321  -62664.2164  0.2624 
   00037    0.4328  -62763.2082  0.2597 
   00038    0.4267  -63001.0996  0.2602 
   00039    0.4336  -62996.8593  0.2577 
   00040    0.4253  -63084.5594  0.2588 
   00041    0.4295  -63141.9324  0.2571 
   00042    0.4289  -63134.0812  0.2582 
   00043    0.4281  -63299.7802  0.2585 
   00044    0.4253  -63488.1337  0.2617 
   00045    0.4219  -63597.1054  0.2625 
   00046    0.4241  -63527.8317  0.2616 
   00047    0.4301  -63677.2542  0.2613 
   00048    0.4285  -63834.4916  0.2589 
   00049    0.4216  -63831.5592  0.2624 
   00050    0.4306  -63796.4031  0.2615 
   00051    0.4287  -63976.5752  0.2602 
   00052    0.4304  -64057.4917  0.2618 
   00053    0.4207  -64055.9319  0.2635 
   00054    0.4278  -64194.5979  0.2626 
   00055    0.4265  -64055.4838  0.2623 
   00056    0.4190  -64040.4199  0.2630 
   00057    0.4215  -63981.8124  0.2655 
   00058    0.4223  -64148.2786  0.2650 
   00059    0.4216  -64223.9358  0.2651 
   00060    0.4268  -64281.5419  0.2659 
   00061    0.4249  -64387.8068  0.2638 
   00062    0.4192  -64514.0253  0.2669 
   00063    0.4231  -64510.7178  0.2679 
   00064    0.4221  -64577.8955  0.2687 
   00065    0.4243  -64549.3146  0.2714 
   00066    0.4184  -64660.5912  0.2727 
   00067    0.4219  -64730.4732  0.2697 
   00068    0.4155  -64755.2412  0.2728 
   00069    0.4204  -64757.9773  0.2728 
   00070    0.4200  -64765.5848  0.2700 
   00071    0.4124  -64742.4239  0.2694 
   00072    0.4231  -64707.2100  0.2676 
   00073    0.4236  -64778.5156  0.2692 
   00074    0.4246  -64757.0308  0.2689 
   00075    0.4221  -64686.4043  0.2693 
   00076    0.4184  -64680.2391  0.2674 
   00077    0.4175  -64714.1053  0.2690 
   00078    0.4214  -64736.5088  0.2690 
   00079    0.4201  -64825.9745  0.2697 
   00080    0.4249  -64804.0576  0.2697 
   00081    0.4210  -64719.7168  0.2695 
   00082    0.4234  -64890.9914  0.2686 
   00083    0.4208  -64893.9841  0.2661 
   00084    0.4203  -64974.0271  0.2664 
   00085    0.4147  -65013.0450  0.2670 
   00086    0.4187  -65118.7377  0.2675 
   00087    0.4216  -65056.5738  0.2672 
   00088    0.4232  -65119.3201  0.2674 
   00089    0.4183  -65051.8977  0.2664 
   00090    0.4178  -64978.9432  0.2711 
   00091    0.4238  -65025.0705  0.2741 
   00092    0.4189  -64993.8016  0.2737 
   00093    0.4121  -65132.6206  0.2747 
   00094    0.4211  -65045.6703  0.2755 
   00095    0.4251  -65014.2245  0.2731 
   00096    0.4227  -65058.9706  0.2731 
   00097    0.4164  -65047.5545  0.2720 
   00098    0.4092  -65091.6067  0.2716 
   00099    0.4194  -64950.3586  0.2706 
   00100    0.4218  -65095.9395  0.2716 
